from;to;week;year;passengers
WS;BE;38;2016;0
WS;BE;39;2016;0
WS;BE;40;2016;0
WS;BE;41;2016;0
WS;BE;42;2016;0
WS;BE;43;2016;0
WS;BE;44;2016;0
WS;BE;45;2016;0
WS;BE;46;2016;0
WS;BE;47;2016;0
WS;BE;48;2016;0
WS;BE;49;2016;0
WS;BE;50;2016;0
WS;BE;51;2016;0
WS;BE;52;2016;0
WS;BF;1;2016;0
WS;BF;2;2016;0
WS;BF;3;2016;0
WS;BF;4;2016;0
WS;BF;5;2016;0
WS;BF;6;2016;0
WS;BF;7;2016;0
WS;BF;8;2016;0
WS;BF;9;2016;0
WS;BF;10;2016;0
WS;BF;11;2016;0
WS;BF;12;2016;0
WS;BF;13;2016;0
WS;BF;14;2016;0
WS;BF;15;2016;0
WS;BF;16;2016;0
WS;BF;17;2016;0
WS;BF;18;2016;0
WS;BF;19;2016;0
WS;BF;20;2016;0
WS;BF;21;2016;0
WS;BF;22;2016;0
WS;BF;23;2016;0
WS;BF;24;2016;0
WS;BF;25;2016;0
WS;BF;26;2016;0
WS;BF;27;2016;0
WS;BF;28;2016;0
WS;BF;29;2016;0
WS;BF;30;2016;0
WS;BF;31;2016;0
WS;BF;32;2016;0
WS;BF;33;2016;0
WS;BF;34;2016;0
WS;BF;35;2016;0
WS;BF;36;2016;0
WS;BF;37;2016;0
WS;BF;38;2016;0
WS;BF;39;2016;0
WS;BF;40;2016;0
WS;BF;41;2016;0
WS;BF;42;2016;0
WS;BF;43;2016;0
WS;BF;44;2016;0
WS;BF;45;2016;0
WS;BF;46;2016;0
WS;BF;47;2016;0
WS;BF;48;2016;0
WS;BF;49;2016;0
WS;BF;50;2016;0
WS;BF;51;2016;0
WS;BF;52;2016;0
WS;BG;1;2016;0
WS;BG;2;2016;0
WS;BG;3;2016;0
WS;BG;4;2016;0
WS;BG;5;2016;0
WS;BG;6;2016;0
WS;BG;7;2016;0
WS;BG;8;2016;0
WS;BG;9;2016;0
WS;BG;10;2016;0
WS;BG;11;2016;0
WS;BG;12;2016;0
WS;BG;13;2016;0
WS;BG;14;2016;0
WS;BG;15;2016;0
WS;BG;16;2016;0
WS;BG;17;2016;0
WS;BG;18;2016;0
WS;BG;19;2016;0
WS;BG;20;2016;0
WS;BG;21;2016;0
WS;BG;22;2016;0
WS;BG;23;2016;0
WS;BG;24;2016;0
