"country_num" "week" "infected_number" "infected_percentage" "code"
"436" 73 4 96.6000907088179 0.0000751160489057724 "MEX"
"437" 74 4 33.6993058363342 0.00112420056138909 "MNG"
"438" 75 4 0 0 "MNE"
"439" 76 4 6.97904195103777 0.0000200448887665797 "MAR"
"440" 77 4 0 0 "MOZ"
"441" 78 4 0 0 "MMR"
"442" 79 4 46.8592816710528 0.000162419816710458 "NPL"
"443" 80 4 56.8293416007695 0.000334689332207655 "NLD"
"444" 81 4 0.997005992994771 0.000374207953652079 "NCL"
"445" 82 4 0 0 "NZL"
"446" 83 4 4.98502996501783 0.0000810569365055293 "NIC"
"447" 84 4 1.99316214154219 0.0000096257962986062 "NER"
"448" 85 4 2.99101797901785 0.00000159958124007309 "NGA"
"449" 86 4 343.050427955443 0.00639737421646843 "NOR"
"450" 87 4 124.625749115709 0.00267754915898517 "OMN"
"451" 88 4 35.8922157481958 0.0000186137358588789 "PAK"
"452" 89 4 8.97305393699326 0.000224865688779369 "PAN"
"453" 90 4 0.997005993005552 0.0000148244200446002 "PRY"
"454" 91 4 0.997005993005903 0.00000313778225277219 "PER"
"455" 92 4 0.0000000592142215923643 0.0000000000000579336316861129 "PHL"
"456" 93 4 0.99700599300592 0.00000258337479276683 "POL"
"457" 94 4 86.6924047098393 0.000846565087954679 "PRT"
"458" 95 4 139.580838995255 0.00609159414791753 "QAT"
"459" 96 4 2.9910179790166 0.0000154393178526924 "ROU"
"460" 97 4 209.37125853034 0.000145964517394541 "RUS"
"461" 98 4 0.000000808088301841314 0.0000000000068334757538015 "RWA"
"462" 99 4 0 0 "SEN"
"463" 100 4 2.99101797901494 0.0000339398400265859 "SRB"
"464" 101 4 26.9191618107791 0.000472555665012538 "SGP"
"465" 102 4 0 0 "SVK"
"466" 103 4 97.7065873007063 0.00472158024070734 "SVN"
"467" 104 4 0 0 "ZAF"
"468" 105 4 82.7514974190504 0.000179642263762976 "ESP"
"469" 106 4 16.6333088425494 0.0000796225599920145 "LKA"
"470" 107 4 0 0 "SUR"
"471" 108 4 279.161678017877 0.00283359593727024 "SWE"
"472" 109 4 81.1434630539687 0.000976582905497415 "CHE"
"473" 110 4 0.997005993005953 0.00000146303096755108 "THA"
"474" 111 4 0 0 "TGO"
"475" 112 4 0 0 "TUN"
"476" 113 4 749.748506719267 0.00094163412487266 "TUR"
"477" 114 4 0.00000152209545079271 0.000000000028672392323603 "TKM"
"478" 115 4 0.997005993005923 0.00000247256337413623 "UGA"
"479" 116 4 94.7155693349648 0.000212250756632401 "UKR"
"480" 117 4 951.143717319323 0.000293455287218301 "USA"
"481" 118 4 0.885656449683303 0.0000220094316849836 "URY"
"482" 119 4 2.9910179790171 0.00000987120116653432 "UZB"
"483" 120 4 0.997005993005965 0.00000105565613664573 "VNM"
"484" 121 4 0 0 "ZMB"
"485" 1 5 12.9481297922266 0.0000388017714510067 "AFG"
"486" 2 5 0 0 "ALB"
"487" 3 5 0.0000000775396189337359 0.000000000000192352191433433 "DZA"
"488" 4 5 9.93738342631529 0.0000226818773549978 "ARG"
"489" 5 5 0 0 "ARM"
"490" 6 5 26.6812579784722 0.000109783828956269 "AUS"
"491" 7 5 43.8244392959357 0.000511392253273106 "AUT"
"492" 8 5 7.96807987196942 0.000570440610265782 "BHR"
"493" 9 5 4.98004992009431 0.00000305691701450574 "BGD"
"494" 10 5 0 0 "BRB"
"495" 11 5 5.97605990409879 0.0000630284941002481 "BLR"
"496" 12 5 7.96807987212946 0.0000700679767945195 "BEL"
"497" 13 5 3.98403993599468 0.000508101606038324 "BTN"
"498" 14 5 0 0 "BIH"
"499" 15 5 14.9290350796481 0.00000712182323954283 "BRA"
"500" 16 5 2.9880299520519 0.000042097997069117 "BGR"
"501" 17 5 0 0 "BFA"
"502" 18 5 3.98403993607191 0.000025172043163252 "KHM"
"503" 19 5 2.98802995205545 0.0000124894629658133 "CMR"
